from_country,dest_country,co2_emissions
Egypt,United Arab Emirates,331000
Columbia,Algeria,943000
Columbia,Algeria,937000
Columbia,Algeria,943000
Columbia,Algeria,943000
Columbia,Australia,2107000
Columbia,Austria,903000
Columbia,Austria,903000
Columbia,Austria,914000
Columbia,Dublin,891000
Columbia,Dublin,913000
Columbia,Dublin,913000
Columbia,France,785000
Columbia,India,1332000
Columbia,India,1630000
Columbia,Italy,891000
Columbia,Italy,891000
Columbia,Egypt,1144000
Columbia,Kenya,1513000
Columbia,Kenya,1609000
Columbia,Morocco,992000
Columbia,Morocco,1010000
Columbia,Morocco,1010000
Columbia,Germany,887000
Columbia,Germany,887000
Columbia,Germany,889000
Columbia,Greece,1048000
Columbia,Greece,1048000
Columbia,Greece,997000
Columbia,Greece,997000
Columbia,Portugal,952000
Columbia,Portugal,952000
Columbia,Portugal,937000
Columbia,Portugal,966000
Columbia,India,1497000
Columbia,India,1653000
Columbia,India,1645000
Columbia,Australia,2323000
Columbia,Australia,2222000
Columbia,Belgium,912000
Columbia,Belgium,912000
Columbia,Belgium,912000
Columbia,South Africa,1769000
Columbia,Malaysia,1670000
Columbia,Malaysia,1670000
Columbia,Spain,927000
Columbia,Spain,916000
Columbia,Spain,944000
Columbia,Netherlands,852000
Columbia,Netherlands,852000
Columbia,Netherlands,858000
Columbia,Netherlands,852000
Columbia,Netherlands,864000
Columbia,Netherlands,852000
Columbia,Netherlands,866000
Columbia,Netherlands,866000
Columbia,Thailand,1912000
Columbia,United Arab Emirates,1389000
Columbia,United Arab Emirates,1389000
Columbia,United Arab Emirates,1394000
Columbia,United Arab Emirates,1402000
Columbia,United Arab Emirates,1401000
Columbia,United Arab Emirates,1389000
Columbia,United Arab Emirates,1389000
Columbia,United Kingdom,867000
Columbia,United Kingdom,867000
Columbia,Denmark,900000
Columbia,Denmark,900000
Columbia,Denmark,911000
Columbia,South Africa,1738000
Columbia,South Africa,1738000
Columbia,South Africa,1743000
Columbia,Germany,901000
Columbia,Germany,872000
Columbia,Germany,881000
Columbia,Sweden,949000
Columbia,Sweden,958000
Columbia,India,1299000
Columbia,India,1519000
Columbia,India,1512000
Columbia,Indonesia,1743000
Columbia,Turkey,1018000
Columbia,Japan,1853000
Columbia,United Kingdom,847000
Columbia,United Kingdom,844000
Columbia,United Kingdom,847000
Columbia,United Kingdom,859000
Columbia,Norway,955000
Columbia,Rome,931000
Columbia,Rome,947000
Columbia,Rome,931000
Columbia,Rome,1000000
Columbia,Rome,1027000
Columbia,Singapore,2058000
Columbia,Singapore,1616000
Columbia,Zurich,876000
Columbia,Zurich,876000
Ethiopia,Brazil,4955000
Ethiopia,Germany,626000
Ethiopia,Germany,564000
Ethiopia,Germany,596000
Ethiopia,Germany,584000
Ethiopia,Germany,596000
Ethiopia,Germany,596000
Ethiopia,Germany,599000
Ethiopia,Germany,584000
Ethiopia,Germany,584000
Ethiopia,United Kingdom,863000
Ethiopia,Zurich,702000
Greece,Canada,1084000
Greece,Denmark,435000
Greece,Ethiopia,410000
Greece,Austria,344000
Greece,Germany,426000
Greece,Germany,353000
Greece,India,607000
Greece,India,824000
Greece,India,600000
Greece,Italy,437000
Greece,Italy,437000
Greece,France,408000
Greece,Belgium,436000
Greece,South Africa,742000
Greece,South Africa,802000
Greece,India,745000
Greece,India,688000
Greece,India,889000
Greece,India,623000
Greece,India,654000
Greece,Spain,503000
Greece,Thailand,777000
Greece,Thailand,1046000
Greece,Thailand,822000
Greece,Thailand,853000
Greece,Thailand,830000
Greece,United Arab Emirates,362000
Greece,United Arab Emirates,362000
Greece,United Arab Emirates,343000
Greece,United Arab Emirates,343000
Greece,Netherlands,497000
Greece,Qatar,367000
Greece,Qatar,314000
Greece,Qatar,606000
Greece,Egypt,120000
Greece,Russia,386000
Greece,Germany,421000
Greece,Germany,507000
Greece,South Africa,965000
Greece,South Africa,925000
Greece,India,780000
Greece,India,765000
Greece,India,845000
Greece,India,548000
Greece,India,580000
Greece,Turkey,263000
Greece,Turkey,263000
Greece,Turkey,287000
Greece,Turkey,291000
Greece,Japan,1423000
Greece,Japan,1103000
Greece,Japan,1135000
Greece,Japan,1112000
Greece,United Kingdom,488000
Greece,Philippines,1162000
Greece,Philippines,1185000
Greece,Philippines,1185000
Greece,Rome,386000
Greece,Rome,386000
Greece,United States,1054000
Greece,South Korea,993000
Greece,South Korea,962000
Greece,South Korea,2718000
